DNP_Deglyco_1891	[R1]C1CCC([R2])CCCC([R3])CCCC([R4])CC1
DNP_Deglyco_5025	[R1]C1CCCCCCCCCCCCC1
DNP_Deglyco_11256	[R1]C1C(CC([R2])CC1[R3])CCCCCCCCCCCCCCCCCCC1CCC([R4])CC1
DNP_Deglyco_110715	[R1]C1CC(CC([R2])C1)CCCCCCCCCCCCCCCCCCC1CC([R3])CC([R4])C1
DNP_Deglyco_37346	[R1]C1C2C(CC(CC2)C)C2C(CCC2)C1[R2]
DNP_Deglyco_37411	[R1]C1CC2C3CC(CCC3CCC2C1)C
DNP_Deglyco_37416	[R1]C1C2C3CC(CCC3CCC2CC1[R2])C
DNP_Deglyco_79057	[R1]C1CC2CC([R2])C3C(C2CC1C)CCC3
DNP_Deglyco_79063	[R1]C1CC2C(CC1C)C1C(CC2)CCC1
DNP_Deglyco_79911	[R1]C1C2C(CC(CC2)C)C2C(C1)CCC2
DNP_Deglyco_80006	[R1]C1C2C(CC(CC2)C)C2CC([R2])CC2C1
DNP_Deglyco_80838	[R1]C1C2C(CC(CC2[R2])C)C2C(CC([R3])C2)C1[R4]
DNP_Deglyco_80847	[R1]C1C2CC([R2])CC2C2CC(CCC2C1)C
DNP_Deglyco_81418	[R1]C1C(C)C([R2])C2C(CC([R3])C3C2CCC3)C1[R4]
DNP_Deglyco_83617	[R1]C1([R2])C2C(CC1[R3])C([R4])CC1C2CC(CC1)C
DNP_Deglyco_84030	[R1]C1C2C(C3CC(CCC3C1)C)CCC2
DNP_Deglyco_85204	[R1]C1CC(CC2C1CCC1C2CCC1)C
DNP_Deglyco_85217	[R1]C1CC(CC2C1CCC1CC([R2])CC12)C
DNP_Deglyco_85860	[R1]C1CC2C(CC1C)C1CC([R2])CC1CC2
DNP_Deglyco_85899	[R1]C1C(C)C([R2])C2C(CCC3C2CCC3)C1[R3]
DNP_Deglyco_85906	[R1]C1C2C(CCC3C2CCC3)C([R2])CC1C
DNP_Deglyco_85921	[R1]C1C(CC2C(CCC3C2CCC3)C1[R2])C
DNP_Deglyco_119087	[R1]C1C2C(C3C(CC2[R2])CCC3[R3])CC(C1)C
DNP_Deglyco_119090	[R1]C1C2C(C3C(C1)CCC3[R2])CC(CC2)C
DNP_Deglyco_23489	[R1]C1C2CCC([R2])CCCC([R3])CC2([R4])CC1C
DNP_Deglyco_37645	[R1]C1C2CC([R2])C([R3])CCCC([R4])CC2CC1C
DNP_Deglyco_37650	[R1]C1C2C(CC1C)CC([R2])CCC([R3])C([R4])CC2
DNP_Deglyco_37770	[R1]C1C2C(CC1C)CC([R2])CCCC([R3])CC2[R4]
DNP_Deglyco_37772	[R1]C1C2C(CC1C)CC([R2])CCCC([R3])CC2
DNP_Deglyco_41382	[R1]C1C2C(CC1C)CC([R2])CC([R3])CC([R4])CC2
DNP_Deglyco_42195	[R1]C1C2C(CC1C)CC([R2])C([R3])CCC([R4])CC2
DNP_Deglyco_60649	[R1]C1C2C(CC1C)C([R2])C([R3])CCCC([R4])CC2
DNP_Deglyco_66691	[R1]C1([R2])C2C(CC1C)CC([R3])CCCC([R4])CC2
DNP_Deglyco_37779	[R1]C1C2C(C3C(CCC3[R2])C([R3])([R4])CC2)CC1C
DNP_Deglyco_42039	[R1]C1C2CC([R2])C([R3])C3C(C2CC1C)C([R4])CC3
DNP_Deglyco_42041	[R1]C1C2C(C3C(CCC3[R2])C([R3])CC2[R4])CC1C
DNP_Deglyco_60276	[R1]C1C2C(C3C(CCC3([R2])[R3])C([R4])CC2)CC1C
DNP_Deglyco_60317	[R1]C1C2C(C3C(CCC3[R2])C([R3])CC2)CC1C
DNP_Deglyco_60320	[R1]C1([R2])C2C(C3C(CCC3[R3])C([R4])CC2)CC1C
DNP_Deglyco_62386	[R1]C1C2C(C3C(C([R2])CC3[R3])C([R4])CC2)CC1C
DNP_Deglyco_63134	[R1]C12C(C3C(CCC1[R2])C([R3])C(C3)C)C([R4])CC2
DNP_Deglyco_117588	[R1]C1C2C(C3CC([R2])CC3CCC2[R3])C([R4])C1C
DNP_Deglyco_117589	[R1]C1C2C(CC1C)C([R2])CCC1CC([R3])CC12
DNP_Deglyco_40612	[R1]C1C2C(CC13CCC([R2])CC3)CC1C3C(CCC12[R3])C1([R4])C(CC3)CCCC1
DNP_Deglyco_69671	[R1]C1C2C(CC13CCC([R2])CC3)CC1C3C(C4C(CC3)C([R3])CCC4)CCC12[R4]
DNP_Deglyco_24130	[R1]C1C(CC(CC1[R2])CC1CCC2C3C(CCC12[R3])C1([R4])C(CCCC1C)CC3)C
DNP_Deglyco_2235	[R1]C12C(CCC34C1CCC(C3)C(C4)C)C([R2])([R3])CCC2
DNP_Deglyco_2236	[R1]C12C(CCC34C1CCC(C3)C(C4)C)C([R2])CCC2
DNP_Deglyco_5513	[R1]C1C23C(CCC(C2)C1C)C1([R2])C(CC3)C([R3])([R4])CCC1
DNP_Deglyco_6835	[R1]C12C(CC([R2])C34C1CCC(C3)C(C4)C)C([R3])([R4])CCC2
DNP_Deglyco_7159	[R1]C12C(C([R2])([R3])CCC1)C([R4])CC13C2CCC(C1)C(C3)C
DNP_Deglyco_7208	[R1]C12C(CCC34C1C([R2])CC(C3)C(C4)C)C([R3])([R4])CCC2
DNP_Deglyco_7314	[R1]C12C(CCC34C1CC([R2])C(C3)C(C4)C)C([R3])([R4])CCC2
DNP_Deglyco_8301	[R1]C12C(CCC34C1CCC(C3)C(C4)C)C([R2])([R3])CCC2[R4]
DNP_Deglyco_8612	[R1]C1([R2])C2CCC34C(CCC(C3)C(C4)C)C2([R3])CCC1[R4]
DNP_Deglyco_10068	[R1]C12C(CCC34C1CCC(C(C3)C)C4[R2])C([R3])([R4])CCC2
DNP_Deglyco_37857	[R1]C12CC3(C(CC1)C1([R2])C(CC3)C([R3])([R4])CCC1)CC2C
DNP_Deglyco_44821	[R1]C1C23C(CCC(C2)C1C)C1([R2])C(CC3)C([R3])CC([R4])C1
DNP_Deglyco_97710	[R1]C12C(CCC34CC(C(C3)CCC14[R2])C)C([R3])([R4])CCC2
DNP_Deglyco_102402	[R1]C12C(CCC34C1CCC(C3)C(C4)C)C([R2])([R3])CC([R4])C2
DNP_Deglyco_6143	[R1]C12C3C(C45C6C1CC4C(CC6[R2])CCC5[R3])CC(C3CCC1CCCCC1)C([R4])C2
DNP_Deglyco_13619	[R1]C1C([R2])C(C2C(C3C(CC([R3])CC3)CC2)C1C)C
DNP_Deglyco_13690	[R1]C1C([R2])C(C2C(C3CC([R3])C([R4])CC3CC2)C1C)C
DNP_Deglyco_13786	[R1]C1CC(C2C(CCC3C2([R2])CCCC3([R3])[R4])C1C)C
DNP_Deglyco_13788	[R1]C1CC(C2C(CCC3C2CCC([R2])C3[R3])C1C)C
DNP_Deglyco_13903	[R1]C1CC(C2C(C3C(CC([R2])CC3[R3])CC2)C1C)C
DNP_Deglyco_13906	[R1]C1C([R2])C2C(C3C(CC2)C(CC([R3])C3C)C)CC1[R4]
DNP_Deglyco_13907	[R1]C1CC(C2C(C3C(CC2)CCCC3)C1C)C
DNP_Deglyco_13908	[R1]C1CC(C2C(C3C(CC2)CCCC3[R2])C1C)C
DNP_Deglyco_13913	[R1]C1CC(C2C(C3CC([R2])C([R3])CC3CC2)C1C)C
DNP_Deglyco_13927	[R1]C1CC(C2C(CC([R2])C3C2CC([R3])CC3)C1C)C
DNP_Deglyco_13935	[R1]C1CC(C2C(CCC3CC([R2])C([R3])CC23)C1C)C
DNP_Deglyco_13936	[R1]C1CC(C2C(CCC3CC([R2])CCC23)C1C)C
DNP_Deglyco_15778	[R1]C1C([R2])C2C3C(CCC2CC1[R3])C(CCC3C)C
DNP_Deglyco_83752	[R1]C1C([R2])C(C2C(C3C(CC([R3])([R4])CC3)CC2)C1C)C
DNP_Deglyco_83757	[R1]C1CC(C2C(C3C(CC([R2])([R3])CC3)CC2)C1C)C
DNP_Deglyco_92850	[R1]C1CC(C2C(CCC3C2CCCC3([R2])[R3])C1C)C
DNP_Deglyco_92852	[R1]C1CC(C2C(CCC3C2CCCC3[R2])C1C)C
DNP_Deglyco_98739	[R1]C1C([R2])C(C2C(C3C(CC2)C([R3])CCC3)C1C)C
DNP_Deglyco_98754	[R1]C1C([R2])C(C2C(C3C(CC2)C([R3])([R4])CCC3)C1C)C
DNP_Deglyco_98879	[R1]C1C([R2])C(C2C(C3C(CC2)C([R3])C([R4])CC3)C1C)C
DNP_Deglyco_3474	[R1]C1CC2C(CCC([R2])CCC1)C(C)C(C2)C
DNP_Deglyco_36971	[R1]C1CCC([R2])CC2C(CCC1[R3])C(C)C(C2)C
DNP_Deglyco_37648	[R1]C1CCC([R2])CCC2C(CC(C)C2C)CC1[R3]
DNP_Deglyco_37769	[R1]C1C2C(CC(C)C2C)CC([R2])CCCC([R3])C1
DNP_Deglyco_53216	[R1]C1C([R2])C2C(CC(C)C2C)CC([R3])CCCC1[R4]
DNP_Deglyco_58427	[R1]C1C2C(C(C)C(C2)C)C([R2])CC([R3])CCCC1[R4]
DNP_Deglyco_58500	[R1]C1CC([R2])C2C(CC(C)C2C)CC([R3])CCC1[R4]
DNP_Deglyco_58504	[R1]C1C2C(CC(C)C2C)CC([R2])CC([R3])CC([R4])C1
DNP_Deglyco_59800	[R1]C1CC2C(CC(C)C2C)CC([R2])CCCC1[R3]
DNP_Deglyco_60613	[R1]C1CC([R2])CC2C(CCC([R3])C1)C(C)C(C2)C
DNP_Deglyco_66204	[R1]C1C([R2])CC([R3])CCC2C(CC(C)C2C)CC1[R4]
DNP_Deglyco_66235	[R1]C1CC2C(CC(C)C2C)CC([R2])C([R3])CCC1[R4]
DNP_Deglyco_66239	[R1]C1CCC([R2])CC([R3])C2C(CC(C)C2C)CC1[R4]
DNP_Deglyco_66672	[R1]C12C(CC(C)C1C)CC([R2])CCCC([R3])CC2
DNP_Deglyco_66857	[R1]C1CC([R2])CC([R3])CC2C(CC1[R4])C(C)C(C2)C
DNP_Deglyco_37781	[R1]C1([R2])C2C(C3C(CC1)C(C)C(C3)C)C([R3])CC2
DNP_Deglyco_41439	[R1]C1C2C(CC1[R2])C([R3])([R4])CCC1C2CC(C)C1C
DNP_Deglyco_42038	[R1]C1C2C(C3C(CC1[R2])C(C)C(C3)C)C([R3])CC2
DNP_Deglyco_42040	[R1]C1C2C(C3C(CCC3[R2])C([R3])C1)CC(C)C2C
DNP_Deglyco_58358	[R1]C1([R2])C2C(CC1)C([R3])CC([R4])C1C2CC(C)C1C
DNP_Deglyco_58441	[R1]C1([R2])CC([R3])C2C(C3C1CCC3[R4])CC(C)C2C
DNP_Deglyco_59821	[R1]C1([R2])C2C(C3C(CC1[R3])C(C)C(C3)C)C([R4])CC2
DNP_Deglyco_60272	[R1]C1C2C(CC1)C([R2])CCC1C2CC(C)C1C
DNP_Deglyco_60332	[R1]C1C2C(C3C(CCC2[R2])C(C)C(C3)C)C([R3])C1
DNP_Deglyco_60341	[R1]C1([R2])C2C(CC1)C([R3])CCC1C2CC(C)C1C
DNP_Deglyco_60352	[R1]C12C(CCC1([R2])[R3])C([R4])CCC1C2CC(C)C1C
DNP_Deglyco_60379	[R1]C12C3C(CCC([R2])C1([R3])CCC2[R4])C(C)C(C3)C
DNP_Deglyco_60449	[R1]C1C2([R2])C(CC1[R3])C([R4])CCC1C2CC(C)C1C
DNP_Deglyco_60460	[R1]C12C(CCC1[R2])C([R3])CCC1C2CC(C)C1C
DNP_Deglyco_60507	[R1]C1([R2])C2C(CC1)C([R3])([R4])CCC1C2CC(C)C1C
DNP_Deglyco_63128	[R1]C12C(C3C(C(C)C(C3)C)C([R2])CC1[R3])C([R4])CC2
DNP_Deglyco_63132	[R1]C12C(C3C(CCC1[R2])C(C)C(C3)C)C([R3])CC2
DNP_Deglyco_63144	[R1]C12C(C3C(CCC1([R2])[R3])C(C)C(C3)C)C([R4])CC2
DNP_Deglyco_2688	[R1]C1([R2])C2C(CC1[R3])C(CC([R4])C1C2CC(C)C1C)C
DNP_Deglyco_39650	[R1]C1C2C(C3C(CCC3[R2])C(C1)C)CC(C)C2C
DNP_Deglyco_41433	[R1]C1C2C(CC1[R2])C(CC([R3])C1C2CC(C)C1C)C
DNP_Deglyco_58257	[R1]C1C(C2C(C3C(C(C)C(C3)C)C1[R2])C([R3])CC2)C
DNP_Deglyco_58260	[R1]C1C(C2C(C3C(C(C)C(C3)C)C1[R2])C([R3])CC2[R4])C
DNP_Deglyco_58388	[R1]C12C(C(CC([R2])C3C1CC(C)C3C)C)C([R3])CC2[R4]
DNP_Deglyco_58402	[R1]C1C2C(C3C(C(C1)C)C([R2])CC3[R3])CC(C)C2C
DNP_Deglyco_58409	[R1]C1([R2])C2C(CC1)C(CC([R3])C1C2CC(C)C1C)C
DNP_Deglyco_60404	[R1]C1C2C(CC1)C(CCC1C2CC(C)C1C)C
DNP_Deglyco_60416	[R1]C1C2C(C3C(CCC2C)C(C)C(C3)C)C([R2])C1
DNP_Deglyco_60432	[R1]C1([R2])C2C(CC1)C(CCC1C2CC(C)C1C)C
DNP_Deglyco_60450	[R1]C1C2C(CC1[R2])C(CCC1C2CC(C)C1C)C
DNP_Deglyco_60525	[R1]C1([R2])C2C(CC1[R3])C(CCC1C2CC(C)C1C)C
DNP_Deglyco_62422	[R1]C1C([R2])C2C(C3C(CCC2C)C(C)C(C3)C)C1[R3]
DNP_Deglyco_62759	[R1]C1CC2C(C3C(CC([R2])C3[R3])C1C)CC(C)C2C
DNP_Deglyco_63097	[R1]C12C(C3C(C(C)C(C3)C)C([R2])CC1C)C([R3])([R4])CC2
DNP_Deglyco_63103	[R1]C12C(C3C(CCC1C)C(C)C(C3)C)C([R2])([R3])CC2
DNP_Deglyco_63135	[R1]C12C(C3C(C(C)C(C3)C)C([R2])CC1C)C([R3])CC2
DNP_Deglyco_63142	[R1]C12C(C3C(CCC1C)C(C)C(C3)C)C([R2])CC2
DNP_Deglyco_7983	[R1]C12C(C3C(CC1)C1([R2])C(CC([R3])CC1)C(C3)C)CCC2[R4]
DNP_Deglyco_32089	[R1]C12C(C3CC(C4C(C3CC1)CCC([R2])C4[R3])C)CCC2[R4]
DNP_Deglyco_89521	[R1]C12C(C3C(CC1)C1([R2])C(CCCC1)C(C3)C)CCC2[R3]
DNP_Deglyco_14419	[R1]C12C3C(C45C6C1CC4C(CCC5[R2])CC6)CC(C3[R3])C([R4])C2
DNP_Deglyco_97802	[R1]C12C3C(C45C6CC1C4CCC6([R2])CCC5[R3])CC(CC2)C3[R4]
DNP_Deglyco_101564	[R1]C1C2CC3C45C6C(CCC4[R2])CCC5C(C(C13)CC2[R3])C6
DNP_Deglyco_101565	[R1]C12C3C4(C5C6C(CC([R2])C(C5)C6[R3])C(C4CC1)C3)C([R4])CC2
DNP_Deglyco_2234	[R1]C12C(CCC34C1CCC([R2])(C3)CC4)C([R3])([R4])CCC2
DNP_Deglyco_2237	[R1]C12C(CCC34C1CCC(C3)C([R2])C4)C([R3])([R4])CCC2
DNP_Deglyco_96087	[R1]C12C(CCC34C1CCC(C3)C([R2])([R3])C4)C([R4])CCC2
DNP_Deglyco_6828	[R1]C12C(CC([R2])C34C1CCC(C3)C(C)C4C)C([R3])([R4])CCC2
DNP_Deglyco_7212	[R1]C12C(CCC34C1C([R2])CC(C3)C(C)C4C)C([R3])([R4])CCC2
DNP_Deglyco_37019	[R1]C12C(CCC34C1CC([R2])C(C3)C(C)C4C)C([R3])([R4])CCC2
DNP_Deglyco_75129	[R1]C12C3(CC(CC1)C(C)C3C)CCC1C2([R2])CCCC1([R3])[R4]
DNP_Deglyco_89205	[R1]C12C(CCC34C1CCC(C3)C(C)C4C)C([R2])([R3])CCC2
DNP_Deglyco_100545	[R1]C12C(CCC34C1CCC(C(C)C3C)C4[R2])C([R3])([R4])CCC2
DNP_Deglyco_101103	[R1]C1([R2])C2C(C3C4(CC(CC3)C(C)C4C)CC2)C([R3])CC1
DNP_Deglyco_101167	[R1]C12C(C([R2])([R3])CCC1)C([R4])CC13C2CCC(C1)C(C)C3C
DNP_Deglyco_104795	[R1]C12C(CCC34C1CCC(C3)C(C)C4C)C([R2])([R3])CCC2[R4]
