mol1_R-configured	C1CCCCC1[R1]
mol2_S-configured	[R1][C@@](F)(C)C(=O)O
mol4_L-Alanine	N[C@@]([R1])(C)C(=O)O
mol5_L-Alanine	N[C@@]([H])([R1])C(=O)O
mol6_L-Alanine	N[C@@]([H])(C)[R1]
mol7_L-Alanine	N[C@@]([R1])([R2])C(=O)O
mol8_L-Alanine	N[C@@]([H])([R1])[R2]
mol9_L-Alanine	N[C@@]([R1])([R2])[R3]
mol11_L-Alanine	N[C@@H]([R1])C(=O)O
mol12_L-Alanine	N[C@@H](C)[R1]
mol13_L-Alanine	N[C@@H]([R1])[R2]
mol14_L-Alanine	N[C@@H]([R1])([R2])
mol16_L-Alanine	N[C@H]([R1])C
mol17_L-Alanine	N[C@H](C(=O)O)[R1]
mol18_L-Alanine	N[C@H]([R1])[R2]
mol19_L-Alanine	N[C@H]([R1])([R2])
mol24_L-Alanine	[H][C@]([R1])(C)C(=O)O
mol25_L-Alanine	[H][C@](N)([R1])C(=O)O
mol26_L-Alanine	[H][C@](N)(C)([R1])
mol27_L-Alanine	[H][C@]([R1])([R2])C(=O)O
mol28_L-Alanine	[H][C@](N)([R1])[R2]
mol29_L-Alanine	[H][C@]([R1])([R2])[R3]
mol31_L-Alanine	[C@H]([R1])(C)C(=O)O
mol32_L-Alanine	[C@H](N)([R1])C(=O)O
mol33_L-Alanine	[C@H](N)(C)([R1])
mol34_L-Alanine	[C@H]([R1])([R2])C(=O)O
mol35_L-Alanine	[C@H](N)([R1])[R2]
mol36_L-Alanine	[C@H]([R1])([R2])[R3]
mol37_L-Alanine	[C@H]([R1])([R2])([R3])
mol43_L-Alanine	[C@@]([R1])([H])(C)C(=O)O
mol44_L-Alanine	[C@@](N)([R1])(C)C(=O)O
mol45_L-Alanine	[C@@](N)([H])([R1])C(=O)O
mol46_L-Alanine	[C@@](N)([H])(C)[R1]
mol47_L-Alanine	[C@@]([R1])([R2])(C)C(=O)O
mol48_L-Alanine	[C@@](N)([R1])([R2])C(=O)O
mol49_L-Alanine	[C@@](N)([H])([R1])([R2])
